season,seasonType,week,poll,rank,school,conference,firstPlaceVotes,points
2020,regular,10,AP Top 25,4,Notre Dame,FBS Independents,0,1351
2020,regular,10,AP Top 25,5,Georgia,SEC,0,1289
2020,regular,10,AP Top 25,6,Cincinnati,American Athletic,0,1199
2020,regular,10,AP Top 25,7,Texas A&M,SEC,0,1156
2020,regular,10,AP Top 25,8,Florida,SEC,0,1066
2020,regular,10,AP Top 25,9,BYU,FBS Independents,0,1014
2020,regular,10,AP Top 25,10,Wisconsin,Big Ten,0,985
2020,regular,10,AP Top 25,11,Miami,ACC,0,946
2020,regular,10,AP Top 25,12,Oregon,Pac-12,0,831
2020,regular,10,AP Top 25,13,Indiana,Big Ten,0,765
2020,regular,10,AP Top 25,14,Oklahoma State,Big 12,0,760
2020,regular,10,AP Top 25,15,Coastal Carolina,Sun Belt,0,527
2020,regular,10,AP Top 25,16,Marshall,Conference USA,0,523
2020,regular,10,AP Top 25,17,Iowa State,Big 12,0,427
2020,regular,10,AP Top 25,18,SMU,American Athletic,0,420
2020,regular,10,AP Top 25,19,Oklahoma,Big 12,0,405
2020,regular,10,AP Top 25,20,USC,Pac-12,0,354
2020,regular,10,AP Top 25,21,Boise State,Mountain West,0,336
2020,regular,10,AP Top 25,22,Texas,Big 12,0,190
2020,regular,10,AP Top 25,23,Michigan,Big Ten,0,151
2020,regular,10,AP Top 25,24,Auburn,SEC,0,144
2020,regular,10,AP Top 25,25,Liberty,FBS Independents,0,118
2020,regular,11,Coaches Poll,1,Alabama,SEC,55,1542
2020,regular,11,Coaches Poll,2,Notre Dame,FBS Independents,4,1461
2020,regular,11,Coaches Poll,3,Ohio State,Big Ten,3,1443
2020,regular,11,Coaches Poll,4,Clemson,ACC,0,1340
2020,regular,11,Coaches Poll,5,Florida,SEC,0,1230
2020,regular,11,Coaches Poll,6,Texas A&M,SEC,0,1229
2020,regular,11,Coaches Poll,7,Cincinnati,American Athletic,0,1172
2020,regular,11,Coaches Poll,8,BYU,FBS Independents,0,1112
2020,regular,11,Coaches Poll,9,Miami,ACC,0,995
2020,regular,11,Coaches Poll,10,Indiana,Big Ten,0,901
2020,regular,11,Coaches Poll,11,Georgia,SEC,0,840
2020,regular,11,Coaches Poll,12,Oregon,Pac-12,0,828
2020,regular,11,Coaches Poll,13,Oklahoma State,Big 12,0,823
2020,regular,11,Coaches Poll,14,Wisconsin,Big Ten,0,778
2020,regular,11,Coaches Poll,15,Marshall,Conference USA,0,534
2020,regular,11,Coaches Poll,16,Iowa State,Big 12,0,530
2020,regular,11,Coaches Poll,17,Coastal Carolina,Sun Belt,0,495
2020,regular,11,Coaches Poll,18,Oklahoma,Big 12,0,476
2020,regular,11,Coaches Poll,19,SMU,American Athletic,0,448
2020,regular,11,Coaches Poll,20,USC,Pac-12,0,334
2020,regular,11,Coaches Poll,21,Auburn,SEC,0,305
2020,regular,11,Coaches Poll,22,Liberty,FBS Independents,0,234
2020,regular,11,Coaches Poll,23,Northwestern,Big Ten,0,218
2020,regular,11,Coaches Poll,24,Texas,Big 12,0,187
2020,regular,11,Coaches Poll,25,Army,FBS Independents,0,181
2020,regular,11,AP Top 25,1,Alabama,SEC,59,1547
2020,regular,11,AP Top 25,2,Notre Dame,FBS Independents,2,1464
2020,regular,11,AP Top 25,3,Ohio State,Big Ten,1,1449
2020,regular,11,AP Top 25,4,Clemson,ACC,0,1355
2020,regular,11,AP Top 25,5,Texas A&M,SEC,0,1223
2020,regular,11,AP Top 25,6,Florida,SEC,0,1213
2020,regular,11,AP Top 25,7,Cincinnati,American Athletic,0,1208
2020,regular,11,AP Top 25,8,BYU,FBS Independents,0,1101
2020,regular,11,AP Top 25,9,Miami,ACC,0,958
2020,regular,11,AP Top 25,10,Indiana,Big Ten,0,956
2020,regular,11,AP Top 25,11,Oregon,Pac-12,0,948
2020,regular,11,AP Top 25,12,Georgia,SEC,0,861
2020,regular,11,AP Top 25,13,Wisconsin,Big Ten,0,852
2020,regular,11,AP Top 25,14,Oklahoma State,Big 12,0,762
2020,regular,11,AP Top 25,15,Coastal Carolina,Sun Belt,0,551
2020,regular,11,AP Top 25,16,Marshall,Conference USA,0,534
2020,regular,11,AP Top 25,17,Iowa State,Big 12,0,491
2020,regular,11,AP Top 25,18,Oklahoma,Big 12,0,467
2020,regular,11,AP Top 25,19,SMU,American Athletic,0,456
2020,regular,11,AP Top 25,20,USC,Pac-12,0,395
2020,regular,11,AP Top 25,21,Texas,Big 12,0,265
2020,regular,11,AP Top 25,22,Liberty,FBS Independents,0,260
2020,regular,11,AP Top 25,23,Northwestern,Big Ten,0,250
2020,regular,11,AP Top 25,24,Auburn,SEC,0,184
2020,regular,11,AP Top 25,25,Louisiana,Sun Belt,0,118
2020,regular,12,Coaches Poll,1,Alabama,SEC,57,1545
2020,regular,12,Coaches Poll,2,Notre Dame,FBS Independents,3,1468
2020,regular,12,Coaches Poll,3,Ohio State,Big Ten,2,1430
2020,regular,12,Coaches Poll,4,Clemson,ACC,0,1349
2020,regular,12,Coaches Poll,5,Florida,SEC,0,1232
2020,regular,12,Coaches Poll,6,Texas A&M,SEC,0,1230
2020,regular,12,Coaches Poll,7,Cincinnati,American Athletic,0,1168
2020,regular,12,Coaches Poll,8,BYU,FBS Independents,0,1100
2020,regular,12,Coaches Poll,9,Miami,ACC,0,987
2020,regular,12,Coaches Poll,10,Indiana,Big Ten,0,983
2020,regular,12,Coaches Poll,11,Georgia,SEC,0,879
2020,regular,12,Coaches Poll,12,Wisconsin,Big Ten,0,853
2020,regular,12,Coaches Poll,13,Oregon,Pac-12,0,849
2020,regular,12,Coaches Poll,14,Oklahoma State,Big 12,0,790
2020,regular,12,Coaches Poll,15,Marshall,Conference USA,0,572
2020,regular,12,Coaches Poll,16,Iowa State,Big 12,0,543
2020,regular,12,Coaches Poll,17,Oklahoma,Big 12,0,492
2020,regular,12,Coaches Poll,18,Coastal Carolina,Sun Belt,0,485
2020,regular,12,Coaches Poll,19,USC,Pac-12,0,384
2020,regular,12,Coaches Poll,20,Northwestern,Big Ten,0,362
2020,regular,12,Coaches Poll,21,Auburn,SEC,0,317
2020,regular,12,Coaches Poll,22,Liberty,FBS Independents,0,305
2020,regular,12,Coaches Poll,23,Texas,Big 12,0,219
2020,regular,12,Coaches Poll,24,North Carolina,ACC,0,153
2020,regular,12,Coaches Poll,25,Louisiana,Sun Belt,0,137
2020,regular,12,AP Top 25,1,Alabama,SEC,60,1548
2020,regular,12,AP Top 25,2,Notre Dame,FBS Independents,1,1467
2020,regular,12,AP Top 25,3,Ohio State,Big Ten,1,1445
2020,regular,12,AP Top 25,4,Clemson,ACC,0,1355
2020,regular,12,AP Top 25,5,Texas A&M,SEC,0,1240
2020,regular,12,AP Top 25,6,Florida,SEC,0,1222
2020,regular,12,AP Top 25,7,Cincinnati,American Athletic,0,1198
2020,regular,12,AP Top 25,8,BYU,FBS Independents,0,1094
2020,regular,12,AP Top 25,9,Indiana,Big Ten,0,997
2020,regular,12,AP Top 25,10,Wisconsin,Big Ten,0,950
2020,regular,12,AP Top 25,11,Oregon,Pac-12,0,949
2020,regular,12,AP Top 25,12,Miami,ACC,0,940
2020,regular,12,AP Top 25,13,Georgia,SEC,0,824
2020,regular,12,AP Top 25,14,Oklahoma State,Big 12,0,750
2020,regular,12,AP Top 25,15,Marshall,Conference USA,0,557
2020,regular,12,AP Top 25,15,Coastal Carolina,Sun Belt,0,557
2020,regular,12,AP Top 25,17,Iowa State,Big 12,0,498
2020,regular,12,AP Top 25,18,Oklahoma,Big 12,0,497
2020,regular,12,AP Top 25,19,Northwestern,Big Ten,0,378
2020,regular,12,AP Top 25,20,USC,Pac-12,0,377
2020,regular,12,AP Top 25,21,Liberty,FBS Independents,0,307
2020,regular,12,AP Top 25,22,Texas,Big 12,0,296
2020,regular,12,AP Top 25,23,Auburn,SEC,0,187
2020,regular,12,AP Top 25,24,Louisiana,Sun Belt,0,177
2020,regular,12,AP Top 25,25,Tulsa,American Athletic,0,155
2020,regular,13,Coaches Poll,1,Alabama,SEC,59,1547
2020,regular,13,Coaches Poll,2,Notre Dame,FBS Independents,2,1469
2020,regular,13,Coaches Poll,3,Ohio State,Big Ten,1,1425
2020,regular,13,Coaches Poll,4,Clemson,ACC,0,1353
2020,regular,13,Coaches Poll,5,Florida,SEC,0,1256
2020,regular,13,Coaches Poll,6,Texas A&M,SEC,0,1241
2020,regular,13,Coaches Poll,7,Cincinnati,American Athletic,0,1166
2020,regular,13,Coaches Poll,8,BYU,FBS Independents,0,1103
2020,regular,13,Coaches Poll,9,Miami,ACC,0,1005
2020,regular,13,Coaches Poll,10,Georgia,SEC,0,897
2020,regular,13,Coaches Poll,11,Oregon,Pac-12,0,876
2020,regular,13,Coaches Poll,12,Indiana,Big Ten,0,821
2020,regular,13,Coaches Poll,13,Northwestern,Big Ten,0,813
2020,regular,13,Coaches Poll,14,Oklahoma,Big 12,0,756
2020,regular,13,Coaches Poll,15,Iowa State,Big 12,0,685
2020,regular,13,Coaches Poll,16,Marshall,Conference USA,0,563
2020,regular,13,Coaches Poll,17,Coastal Carolina,Sun Belt,0,530
2020,regular,13,Coaches Poll,18,USC,Pac-12,0,508
2020,regular,13,Coaches Poll,19,Auburn,SEC,0,427
2020,regular,13,Coaches Poll,20,Wisconsin,Big Ten,0,409
2020,regular,13,Coaches Poll,21,Texas,Big 12,0,306
2020,regular,13,Coaches Poll,22,Oklahoma State,Big 12,0,299
2020,regular,13,Coaches Poll,23,North Carolina,ACC,0,205
2020,regular,13,Coaches Poll,24,Louisiana,Sun Belt,0,165
2020,regular,13,Coaches Poll,25,Tulsa,American Athletic,0,120
2020,regular,13,AP Top 25,1,Alabama,SEC,62,1550
2020,regular,13,AP Top 25,2,Notre Dame,FBS Independents,0,1471
2020,regular,13,AP Top 25,3,Ohio State,Big Ten,0,1440
2020,regular,13,AP Top 25,4,Clemson,ACC,0,1358
2020,regular,13,AP Top 25,5,Texas A&M,SEC,0,1249
2020,regular,13,AP Top 25,6,Florida,SEC,0,1223
2020,regular,13,AP Top 25,7,Cincinnati,American Athletic,0,1201
2020,regular,13,AP Top 25,8,BYU,FBS Independents,0,1109
2020,regular,13,AP Top 25,9,Oregon,Pac-12,0,951
2020,regular,13,AP Top 25,10,Miami,ACC,0,936
2020,regular,13,AP Top 25,11,Northwestern,Big Ten,0,922
2020,regular,13,AP Top 25,12,Indiana,Big Ten,0,899
2020,regular,13,AP Top 25,13,Georgia,SEC,0,828
2020,regular,13,AP Top 25,14,Oklahoma,Big 12,0,693
2020,regular,13,AP Top 25,15,Iowa State,Big 12,0,658
2020,regular,13,AP Top 25,16,Coastal Carolina,Sun Belt,0,622
2020,regular,13,AP Top 25,17,Marshall,Conference USA,0,542
2020,regular,13,AP Top 25,18,Wisconsin,Big Ten,0,540
2020,regular,13,AP Top 25,19,USC,Pac-12,0,461
2020,regular,13,AP Top 25,20,Texas,Big 12,0,321
2020,regular,13,AP Top 25,21,Oklahoma State,Big 12,0,289
2020,regular,13,AP Top 25,22,Auburn,SEC,0,259
2020,regular,13,AP Top 25,23,Louisiana,Sun Belt,0,218
2020,regular,13,AP Top 25,24,Tulsa,American Athletic,0,164
2020,regular,13,AP Top 25,25,North Carolina,ACC,0,108
2020,regular,13,Playoff Committee Rankings,1,Alabama,SEC,0,0
2020,regular,13,Playoff Committee Rankings,2,Notre Dame,FBS Independents,0,0
2020,regular,13,Playoff Committee Rankings,3,Clemson,ACC,0,0
2020,regular,13,Playoff Committee Rankings,4,Ohio State,Big Ten,0,0
2020,regular,13,Playoff Committee Rankings,5,Texas A&M,SEC,0,0
2020,regular,13,Playoff Committee Rankings,6,Florida,SEC,0,0
2020,regular,13,Playoff Committee Rankings,7,Cincinnati,American Athletic,0,0
2020,regular,13,Playoff Committee Rankings,8,Northwestern,Big Ten,0,0
2020,regular,13,Playoff Committee Rankings,9,Georgia,SEC,0,0
2020,regular,13,Playoff Committee Rankings,10,Miami,ACC,0,0
2020,regular,13,Playoff Committee Rankings,11,Oklahoma,Big 12,0,0
2020,regular,13,Playoff Committee Rankings,12,Indiana,Big Ten,0,0
2020,regular,13,Playoff Committee Rankings,13,Iowa State,Big 12,0,0
2020,regular,13,Playoff Committee Rankings,14,BYU,FBS Independents,0,0
2020,regular,13,Playoff Committee Rankings,15,Oregon,Pac-12,0,0
2020,regular,13,Playoff Committee Rankings,16,Wisconsin,Big Ten,0,0
2020,regular,13,Playoff Committee Rankings,17,Texas,Big 12,0,0
2020,regular,13,Playoff Committee Rankings,18,USC,Pac-12,0,0
2020,regular,13,Playoff Committee Rankings,19,North Carolina,ACC,0,0
2020,regular,13,Playoff Committee Rankings,20,Coastal Carolina,Sun Belt,0,0
2020,regular,13,Playoff Committee Rankings,21,Marshall,Conference USA,0,0
2020,regular,13,Playoff Committee Rankings,22,Auburn,SEC,0,0
2020,regular,13,Playoff Committee Rankings,23,Oklahoma State,Big 12,0,0
2020,regular,13,Playoff Committee Rankings,24,Iowa,Big Ten,0,0
2020,regular,13,Playoff Committee Rankings,25,Tulsa,American Athletic,0,0
2020,regular,14,Coaches Poll,1,Alabama,SEC,59,1547
2020,regular,14,Coaches Poll,2,Notre Dame,FBS Independents,2,1479
2020,regular,14,Coaches Poll,3,Clemson,ACC,0,1391
2020,regular,14,Coaches Poll,4,Ohio State,Big Ten,1,1382
2020,regular,14,Coaches Poll,5,Florida,SEC,0,1255
2020,regular,14,Coaches Poll,6,Texas A&M,SEC,0,1254
2020,regular,14,Coaches Poll,7,Cincinnati,American Athletic,0,1177
2020,regular,14,Coaches Poll,8,BYU,FBS Independents,0,1073
2020,regular,14,Coaches Poll,9,Miami,ACC,0,1026
2020,regular,14,Coaches Poll,10,Georgia,SEC,0,972
2020,regular,14,Coaches Poll,11,Indiana,Big Ten,0,934
2020,regular,14,Coaches Poll,12,Iowa State,Big 12,0,855
2020,regular,14,Coaches Poll,13,Oklahoma,Big 12,0,816
2020,regular,14,Coaches Poll,14,Coastal Carolina,Sun Belt,0,625
2020,regular,14,Coaches Poll,15,Marshall,Conference USA,0,615
2020,regular,14,Coaches Poll,16,USC,Pac-12,0,581
2020,regular,14,Coaches Poll,17,Northwestern,Big Ten,0,535
2020,regular,14,Coaches Poll,18,Oklahoma State,Big 12,0,469
2020,regular,14,Coaches Poll,19,Wisconsin,Big Ten,0,459
2020,regular,14,Coaches Poll,20,Oregon,Pac-12,0,343
2020,regular,14,Coaches Poll,21,Louisiana,Sun Belt,0,293
2020,regular,14,Coaches Poll,22,Tulsa,American Athletic,0,228
2020,regular,14,Coaches Poll,23,Washington,Pac-12,0,186
2020,regular,14,Coaches Poll,24,Iowa,Big Ten,0,125
2020,regular,14,Coaches Poll,25,Liberty,FBS Independents,0,87
2020,regular,14,AP Top 25,1,Alabama,SEC,62,1550
2020,regular,14,AP Top 25,2,Notre Dame,FBS Independents,0,1481
2020,regular,14,AP Top 25,3,Ohio State,Big Ten,0,1403
2020,regular,14,AP Top 25,4,Clemson,ACC,0,1392
2020,regular,14,AP Top 25,5,Texas A&M,SEC,0,1262
2020,regular,14,AP Top 25,6,Florida,SEC,0,1226
2020,regular,14,AP Top 25,7,Cincinnati,American Athletic,0,1204
2020,regular,14,AP Top 25,8,BYU,FBS Independents,0,1113
2020,regular,14,AP Top 25,9,Miami,ACC,0,991
2020,regular,14,AP Top 25,10,Indiana,Big Ten,0,984
2020,regular,14,AP Top 25,11,Georgia,SEC,0,919
2020,regular,14,AP Top 25,12,Iowa State,Big 12,0,873
2020,regular,14,AP Top 25,13,Oklahoma,Big 12,0,815
2020,regular,14,AP Top 25,14,Coastal Carolina,Sun Belt,0,694
2020,regular,14,AP Top 25,15,Marshall,Conference USA,0,600
2020,regular,14,AP Top 25,16,Northwestern,Big Ten,0,577
2020,regular,14,AP Top 25,17,USC,Pac-12,0,540
2020,regular,14,AP Top 25,18,Wisconsin,Big Ten,0,531
2020,regular,14,AP Top 25,19,Oklahoma State,Big 12,0,426
2020,regular,14,AP Top 25,20,Louisiana,Sun Belt,0,352
2020,regular,14,AP Top 25,21,Oregon,Pac-12,0,326
2020,regular,14,AP Top 25,22,Tulsa,American Athletic,0,244
2020,regular,14,AP Top 25,23,Washington,Pac-12,0,218
2020,regular,14,AP Top 25,24,Iowa,Big Ten,0,119
2020,regular,14,AP Top 25,25,Liberty,FBS Independents,0,67
2020,regular,14,Playoff Committee Rankings,1,Alabama,SEC,0,0
2020,regular,14,Playoff Committee Rankings,2,Notre Dame,FBS Independents,0,0
2020,regular,14,Playoff Committee Rankings,3,Clemson,ACC,0,0
2020,regular,14,Playoff Committee Rankings,4,Ohio State,Big Ten,0,0
2020,regular,14,Playoff Committee Rankings,5,Texas A&M,SEC,0,0
2020,regular,14,Playoff Committee Rankings,6,Florida,SEC,0,0
2020,regular,14,Playoff Committee Rankings,7,Cincinnati,American Athletic,0,0
2020,regular,14,Playoff Committee Rankings,8,Georgia,SEC,0,0
2020,regular,14,Playoff Committee Rankings,9,Iowa State,Big 12,0,0
2020,regular,14,Playoff Committee Rankings,10,Miami,ACC,0,0
2020,regular,14,Playoff Committee Rankings,11,Oklahoma,Big 12,0,0
2020,regular,14,Playoff Committee Rankings,12,Indiana,Big Ten,0,0
2020,regular,14,Playoff Committee Rankings,13,BYU,FBS Independents,0,0
2020,regular,14,Playoff Committee Rankings,14,Northwestern,Big Ten,0,0
2020,regular,14,Playoff Committee Rankings,15,Oklahoma State,Big 12,0,0
2020,regular,14,Playoff Committee Rankings,16,Wisconsin,Big Ten,0,0
2020,regular,14,Playoff Committee Rankings,17,North Carolina,ACC,0,0
2020,regular,14,Playoff Committee Rankings,18,Coastal Carolina,Sun Belt,0,0
2020,regular,14,Playoff Committee Rankings,19,Iowa,Big Ten,0,0
2020,regular,14,Playoff Committee Rankings,20,USC,Pac-12,0,0
2020,regular,14,Playoff Committee Rankings,21,Marshall,Conference USA,0,0
2020,regular,14,Playoff Committee Rankings,22,Washington,Pac-12,0,0
2020,regular,14,Playoff Committee Rankings,23,Oregon,Pac-12,0,0
2020,regular,14,Playoff Committee Rankings,24,Tulsa,American Athletic,0,0
2020,regular,14,Playoff Committee Rankings,25,Louisiana,Sun Belt,0,0
2020,regular,15,Coaches Poll,1,Alabama,SEC,59,1547
2020,regular,15,Coaches Poll,2,Notre Dame,FBS Independents,2,1479
2020,regular,15,Coaches Poll,3,Clemson,ACC,0,1395
2020,regular,15,Coaches Poll,4,Ohio State,Big Ten,1,1387
2020,regular,15,Coaches Poll,5,Texas A&M,SEC,0,1266
2020,regular,15,Coaches Poll,6,Florida,SEC,0,1258
2020,regular,15,Coaches Poll,7,Cincinnati,American Athletic,0,1172
2020,regular,15,Coaches Poll,8,Miami,ACC,0,1050
2020,regular,15,Coaches Poll,9,Indiana,Big Ten,0,1000
2020,regular,15,Coaches Poll,10,Georgia,SEC,0,987
2020,regular,15,Coaches Poll,11,Iowa State,Big 12,0,958
2020,regular,15,Coaches Poll,12,Oklahoma,Big 12,0,860
2020,regular,15,Coaches Poll,13,Coastal Carolina,Sun Belt,0,838
2020,regular,15,Coaches Poll,14,Northwestern,Big Ten,0,683
2020,regular,15,Coaches Poll,15,USC,Pac-12,0,615
2020,regular,15,Coaches Poll,16,BYU,FBS Independents,0,598
2020,regular,15,Coaches Poll,17,Louisiana,Sun Belt,0,500
2020,regular,15,Coaches Poll,18,Iowa,Big Ten,0,396
2020,regular,15,Coaches Poll,19,Tulsa,American Athletic,0,394
2020,regular,15,Coaches Poll,20,North Carolina,ACC,0,370
2020,regular,15,Coaches Poll,21,Liberty,FBS Independents,0,185
2020,regular,15,Coaches Poll,22,Colorado,Pac-12,0,178
2020,regular,15,Coaches Poll,23,Texas,Big 12,0,161
2020,regular,15,Coaches Poll,24,NC State,ACC,0,154
2020,regular,15,Coaches Poll,25,Wisconsin,Big Ten,0,124
2020,regular,15,AP Top 25,1,Alabama,SEC,62,1550
2020,regular,15,AP Top 25,2,Notre Dame,FBS Independents,0,1482
2020,regular,15,AP Top 25,3,Ohio State,Big Ten,0,1407
2020,regular,15,AP Top 25,4,Clemson,ACC,0,1387
2020,regular,15,AP Top 25,5,Texas A&M,SEC,0,1274
2020,regular,15,AP Top 25,6,Florida,SEC,0,1233
2020,regular,15,AP Top 25,7,Cincinnati,American Athletic,0,1204
2020,regular,15,AP Top 25,8,Indiana,Big Ten,0,1047
2020,regular,15,AP Top 25,9,Miami,ACC,0,1039
2020,regular,15,AP Top 25,10,Iowa State,Big 12,0,947
2020,regular,15,AP Top 25,11,Coastal Carolina,Sun Belt,0,923
2020,regular,15,AP Top 25,12,Georgia,SEC,0,914
2020,regular,15,AP Top 25,13,Oklahoma,Big 12,0,837
2020,regular,15,AP Top 25,14,BYU,FBS Independents,0,713
2020,regular,15,AP Top 25,15,Northwestern,Big Ten,0,647
2020,regular,15,AP Top 25,16,USC,Pac-12,0,624
2020,regular,15,AP Top 25,17,Louisiana,Sun Belt,0,560
2020,regular,15,AP Top 25,18,Tulsa,American Athletic,0,444
2020,regular,15,AP Top 25,19,Iowa,Big Ten,0,424
2020,regular,15,AP Top 25,20,North Carolina,ACC,0,306
2020,regular,15,AP Top 25,21,Colorado,Pac-12,0,253
2020,regular,15,AP Top 25,22,Liberty,FBS Independents,0,191
2020,regular,15,AP Top 25,23,Texas,Big 12,0,164
2020,regular,15,AP Top 25,24,Buffalo,Mid-American,0,145
2020,regular,15,AP Top 25,25,Wisconsin,Big Ten,0,115
2020,regular,15,Playoff Committee Rankings,1,Alabama,SEC,0,0
2020,regular,15,Playoff Committee Rankings,2,Notre Dame,FBS Independents,0,0
2020,regular,15,Playoff Committee Rankings,3,Clemson,ACC,0,0
2020,regular,15,Playoff Committee Rankings,4,Ohio State,Big Ten,0,0
2020,regular,15,Playoff Committee Rankings,5,Texas A&M,SEC,0,0
2020,regular,15,Playoff Committee Rankings,6,Florida,SEC,0,0
2020,regular,15,Playoff Committee Rankings,7,Iowa State,Big 12,0,0
2020,regular,15,Playoff Committee Rankings,8,Cincinnati,American Athletic,0,0
2020,regular,15,Playoff Committee Rankings,9,Georgia,SEC,0,0
2020,regular,15,Playoff Committee Rankings,10,Miami,ACC,0,0
2020,regular,15,Playoff Committee Rankings,11,Oklahoma,Big 12,0,0
2020,regular,15,Playoff Committee Rankings,12,Indiana,Big Ten,0,0
2020,regular,15,Playoff Committee Rankings,13,Coastal Carolina,Sun Belt,0,0
2020,regular,15,Playoff Committee Rankings,14,Northwestern,Big Ten,0,0
2020,regular,15,Playoff Committee Rankings,15,USC,Pac-12,0,0
2020,regular,15,Playoff Committee Rankings,16,Iowa,Big Ten,0,0
2020,regular,15,Playoff Committee Rankings,17,North Carolina,ACC,0,0
2020,regular,15,Playoff Committee Rankings,18,BYU,FBS Independents,0,0
2020,regular,15,Playoff Committee Rankings,19,Louisiana,Sun Belt,0,0
2020,regular,15,Playoff Committee Rankings,20,Texas,Big 12,0,0
2020,regular,15,Playoff Committee Rankings,21,Colorado,Pac-12,0,0
2020,regular,15,Playoff Committee Rankings,22,Oklahoma State,Big 12,0,0
2020,regular,15,Playoff Committee Rankings,23,NC State,ACC,0,0
2020,regular,15,Playoff Committee Rankings,24,Tulsa,American Athletic,0,0
2020,regular,15,Playoff Committee Rankings,25,Missouri,SEC,0,0
2020,regular,16,Coaches Poll,1,Alabama,SEC,60,1548
2020,regular,16,Coaches Poll,2,Notre Dame,FBS Independents,2,1481
2020,regular,16,Coaches Poll,3,Clemson,ACC,0,1403
2020,regular,16,Coaches Poll,4,Ohio State,Big Ten,0,1381
2020,regular,16,Coaches Poll,5,Texas A&M,SEC,0,1292
2020,regular,16,Coaches Poll,6,Cincinnati,American Athletic,0,1213
2020,regular,16,Coaches Poll,7,Indiana,Big Ten,0,1088
2020,regular,16,Coaches Poll,8,Iowa State,Big 12,0,1065
2020,regular,16,Coaches Poll,9,Georgia,SEC,0,1038
2020,regular,16,Coaches Poll,10,Oklahoma,Big 12,0,933
2020,regular,16,Coaches Poll,11,Florida,SEC,0,912
2020,regular,16,Coaches Poll,12,Coastal Carolina,Sun Belt,0,884
2020,regular,16,Coaches Poll,13,USC,Pac-12,0,798
2020,regular,16,Coaches Poll,14,Northwestern,Big Ten,0,779
2020,regular,16,Coaches Poll,15,North Carolina,ACC,0,626
2020,regular,16,Coaches Poll,16,BYU,FBS Independents,0,616
2020,regular,16,Coaches Poll,17,Iowa,Big Ten,0,526
2020,regular,16,Coaches Poll,18,Louisiana,Sun Belt,0,510
2020,regular,16,Coaches Poll,19,Miami,ACC,0,488
2020,regular,16,Coaches Poll,20,Tulsa,American Athletic,0,365
2020,regular,16,Coaches Poll,21,Liberty,FBS Independents,0,194
2020,regular,16,Coaches Poll,22,Oklahoma State,Big 12,0,189
2020,regular,16,Coaches Poll,23,NC State,ACC,0,185
2020,regular,16,Coaches Poll,24,Texas,Big 12,0,176
2020,regular,16,Coaches Poll,25,San José State,Mountain West,0,127
2020,regular,16,AP Top 25,1,Alabama,SEC,62,1550
2020,regular,16,AP Top 25,2,Notre Dame,FBS Independents,0,1482
2020,regular,16,AP Top 25,3,Ohio State,Big Ten,0,1405
2020,regular,16,AP Top 25,4,Clemson,ACC,0,1388
2020,regular,16,AP Top 25,5,Texas A&M,SEC,0,1286
2020,regular,16,AP Top 25,6,Cincinnati,American Athletic,0,1248
2020,regular,16,AP Top 25,7,Indiana,Big Ten,0,1140
2020,regular,16,AP Top 25,8,Iowa State,Big 12,0,1059
2020,regular,16,AP Top 25,9,Coastal Carolina,Sun Belt,0,994
2020,regular,16,AP Top 25,10,Georgia,SEC,0,968
2020,regular,16,AP Top 25,11,Florida,SEC,0,940
2020,regular,16,AP Top 25,12,Oklahoma,Big 12,0,902
2020,regular,16,AP Top 25,13,USC,Pac-12,0,774
2020,regular,16,AP Top 25,14,BYU,FBS Independents,0,724
2020,regular,16,AP Top 25,15,Northwestern,Big Ten,0,691
2020,regular,16,AP Top 25,16,North Carolina,ACC,0,631
2020,regular,16,AP Top 25,17,Louisiana,Sun Belt,0,566
2020,regular,16,AP Top 25,18,Iowa,Big Ten,0,502
2020,regular,16,AP Top 25,19,Miami,ACC,0,454
2020,regular,16,AP Top 25,20,Tulsa,American Athletic,0,408
2020,regular,16,AP Top 25,21,Texas,Big 12,0,227
2020,regular,16,AP Top 25,22,Liberty,FBS Independents,0,184
2020,regular,16,AP Top 25,23,Buffalo,Mid-American,0,183
2020,regular,16,AP Top 25,24,NC State,ACC,0,137
2020,regular,16,AP Top 25,25,San José State,Mountain West,0,124
2020,regular,16,Playoff Committee Rankings,1,Alabama,SEC,0,0
2020,regular,16,Playoff Committee Rankings,2,Notre Dame,FBS Independents,0,0
2020,regular,16,Playoff Committee Rankings,3,Clemson,ACC,0,0
2020,regular,16,Playoff Committee Rankings,4,Ohio State,Big Ten,0,0
2020,regular,16,Playoff Committee Rankings,5,Texas A&M,SEC,0,0
2020,regular,16,Playoff Committee Rankings,6,Iowa State,Big 12,0,0
2020,regular,16,Playoff Committee Rankings,7,Florida,SEC,0,0
2020,regular,16,Playoff Committee Rankings,8,Georgia,SEC,0,0
2020,regular,16,Playoff Committee Rankings,9,Cincinnati,American Athletic,0,0
2020,regular,16,Playoff Committee Rankings,10,Oklahoma,Big 12,0,0
2020,regular,16,Playoff Committee Rankings,11,Indiana,Big Ten,0,0
2020,regular,16,Playoff Committee Rankings,12,Coastal Carolina,Sun Belt,0,0
2020,regular,16,Playoff Committee Rankings,13,USC,Pac-12,0,0
2020,regular,16,Playoff Committee Rankings,14,Northwestern,Big Ten,0,0
2020,regular,16,Playoff Committee Rankings,15,North Carolina,ACC,0,0
2020,regular,16,Playoff Committee Rankings,16,Iowa,Big Ten,0,0
